No.,VCC,M_V,M_Z,R_P,R_3D,L_z,M,N_GC,SN,SN_z,T,SL,SM,SN_z_blue,SN_z_red,T_blue,T_red,f_red,
37,1250,-18.98,-20.1,0.06,0.79 +- 0.57,5.23,3.68 +- 2.04,20.1 +- 7.3,0.52 +- 0.19,0.18 +- 0.07,5.5 +- 3.6,0.06 +- 0.01,0.14 +- 0.08,0.17 +- 0.06,0.01 +- 0.03,5.0 +- 3.3,0.4 +- 1.0,0.06,
38,1630,-19.07,-20.06,0.34,0.51 +- 0.38,7.03,11.61 +- 2.39,47 +- 11,1.11 +- 0.26,0.44 +- 0.10,4.0 +- 1.3,0.12 +- 0.02,0.11 +- 0.03,0.26 +- 0.08,0.18 +- 0.06,2.4 +- 0.9,1.7 +- 0.7,0.41,
39,1146,-18.93,-19.64,0.28,0.60 +- 0.38,5.71,8.69 +- 2.17,72 +- 12,1.93 +- 0.32,1.00 +- 0.17,8.3 +- 2.5,0.39 +- 0.02,0.40 +- 0.10,0.30 +- 0.12,0.70 +- 0.12,2.5 +- 1.1,5.8 +- 1.8,0.7,
40,1025,-19.58,-20.57,1.24,5.98 +- 0.53,10.9,21.39 +- 4.25,141 +- 34,2.08 +- 0.50,0.84 +- 0.20,6.6 +- 2.1,0.25 +- 0.07,0.19 +- 0.08,0.75 +- 0.17,0.09 +- 0.11,5.9 +- 1.8,0.7 +- 0.9,0.11,
41,1303,-18.84,-19.8,0.97,0.98 +- 0.39,5.55,10.39 +- 2.33,72 +- 18,2.10 +- 0.53,0.87 +- 0.22,6.9 +- 2.3,0.24 +- 0.03,0.18 +- 0.05,0.82 +- 0.18,0.05 +- 0.11,6.5 +- 2.1,0.4 +- 0.9,0.06,
42,1913,-18.87,-19.74,1.58,1.67 +- 0.40,5.67,10.74 +- 2.72,71 +- 14,2.02 +- 0.40,0.90 +- 0.18,6.6 +- 2.1,0.31 +- 0.01,0.23 +- 0.06,0.74 +- 0.15,0.16 +- 0.09,5.4 +- 1.8,1.2 +- 0.8,0.18,
43,1327,-19.1,-19.81,0.04,1.45 +- 0.51,8.36,17.24 +- 2.34,11 +- 12,0.26 +- 0.29,0.14 +- 0.15,0.7 +- 0.7,0.07 +- 0.00,0.05 +- 0.01,0.09 +- 0.12,0.05 +- 0.09,0.4 +- 0.6,0.2 +- 0.4,0.36,
44,1125,-19.07,-19.44,0.24,,6.8,8.06 +- 3.40,52.3 +- 8.5,1.23 +- 0.20,0.88 +- 0.14,6.5 +- 2.9,0.16 +- 0.01,0.20 +- 0.08,0.81 +- 0.13,0.07 +- 0.06,6.0 +- 2.7,0.5 +- 0.5,0.08,
45,1475,-18.56,-19.42,1.13,1.15 +- 0.38,4.07,7.73 +- 1.50,81 +- 10,3.05 +- 0.40,1.38 +- 0.18,10.5 +- 2.5,0.33 +- 0.03,0.23 +- 0.05,1.33 +- 0.17,0.06 +- 0.06,10.1 +- 2.4,0.4 +- 0.5,0.04,
46,1178,-18.35,-19.35,1.22,1.48 +- 0.37,3.64,7.09 +- 1.42,25.3 +- 9.2,1.16 +- 0.42,0.46 +- 0.17,3.6 +- 1.5,0.12 +- 0.01,0.09 +- 0.02,0.31 +- 0.14,0.15 +- 0.10,2.4 +- 1.2,1.2 +- 0.8,0.33,
47,1283,-18.65,-19.7,0.34,0.86 +- 0.41,4.83,9.08 +- 1.79,58.6 +- 9.3,2.02 +- 0.32,0.77 +- 0.12,6.5 +- 1.6,0.22 +- 0.03,0.16 +- 0.04,0.59 +- 0.10,0.18 +- 0.06,5.0 +- 1.3,1.5 +- 0.6,0.23,
48,1261,-18.42,-19.21,0.47,1.44 +- 0.51,3.14,4.87 +- 1.69,35.1 +- 7.6,1.51 +- 0.33,0.72 +- 0.16,7.2 +- 2.9,0.29 +- 0.02,0.28 +- 0.10,0.60 +- 0.14,0.12 +- 0.08,6.0 +- 2.5,1.2 +- 0.9,0.17,
49,698,-18.78,-19.71,0.58,1.80 +- 0.43,5.03,9.52 +- 2.56,114 +- 12,3.53 +- 0.38,1.50 +- 0.16,12.0 +- 3.5,0.56 +- 0.01,0.41 +- 0.11,1.23 +- 0.14,0.27 +- 0.07,9.8 +- 2.9,2.2 +- 0.8,0.18,
50,1422,-17.97,-18.73,0.62,1.60 +- 0.43,2.18,3.82 +- 1.35,24.9 +- 6.0,1.62 +- 0.39,0.80 +- 0.19,6.5 +- 2.8,0.21 +- 0.02,0.17 +- 0.06,0.54 +- 0.16,0.26 +- 0.11,4.4 +- 2.0,2.1 +- 1.2,0.32,
51,2048,-17.85,-18.57,1.32,,1.89,2.94 +- 1.08,17.2 +- 5.4,1.25 +- 0.39,0.64 +- 0.20,5.9 +- 2.8,0.19 +- 0.02,0.19 +- 0.07,0.49 +- 0.17,0.15 +- 0.11,4.5 +- 2.3,1.3 +- 1.1,0.23,
52,1871,-17.31,-18.32,0.79,1.43 +- 0.44,1.36,2.26 +- 0.58,10.4 +- 5.0,1.24 +- 0.60,0.49 +- 0.24,4.6 +- 2.5,0.21 +- 0.07,0.17 +- 0.07,0.48 +- 0.21,0.01 +- 0.11,4.5 +- 2.3,0.1 +- 1.0,0.02,
53,9,-18.04,-18.8,1.57,1.64 +- 0.65,2.17,3.08 +- 0.61,25.7 +- 6.4,1.57 +- 0.39,0.78 +- 0.19,8.3 +- 2.6,0.21 +- 0.02,0.20 +- 0.05,0.68 +- 0.17,0.09 +- 0.09,7.3 +- 2.4,1.0 +- 1.0,0.12,
54,575,-18.42,-19.33,1.34,5.30 +- 0.61,3.56,5.00 +- 1.75,18.0 +- 6.1,0.77 +- 0.26,0.33 +- 0.11,3.6 +- 1.7,0.00 +- 0.06,-0.00 +- 0.06,0.26 +- 0.10,0.07 +- 0.06,2.8 +- 1.4,0.8 +- 0.7,0.21,
55,1910,-17.39,-18.33,0.82,1.11 +- 0.37,1.43,2.10 +- 0.81,48.7 +- 8.4,5.38 +- 0.93,2.27 +- 0.39,23.2 +- 9.8,1.09 +- 0.04,1.12 +- 0.43,1.47 +- 0.32,0.79 +- 0.23,15.1 +- 6.7,8.1 +- 3.9,0.35,
56,1049,-16.69,-17.34,1.26,1.43 +- 0.53,0.6,0.52 +- 0.40,8.4 +- 4.5,1.77 +- 0.95,0.97 +- 0.52,16.2 +- 15.1,0.05 +- 0.03,0.09 +- 0.08,0.75 +- 0.44,0.22 +- 0.28,12.4 +- 12.0,3.7 +- 5.5,0.23,
57,856,-17.57,-18.25,0.76,0.76 +- 0.47,1.47,2.22 +- 0.85,43.4 +- 7.9,4.07 +- 0.74,2.17 +- 0.39,19.5 +- 8.3,0.55 +- 0.03,0.56 +- 0.22,1.80 +- 0.35,0.37 +- 0.19,16.2 +- 6.9,3.3 +- 2.1,0.17,
58,140,-17.51,-18.27,1.24,1.30 +- 0.46,1.37,2.33 +- 0.71,21.3 +- 6.1,2.10 +- 0.60,1.05 +- 0.30,9.2 +- 3.8,0.18 +- 0.03,0.16 +- 0.06,0.79 +- 0.25,0.26 +- 0.16,6.9 +- 3.1,2.3 +- 1.6,0.25,
