NGVS+1+4.l.g,190,99,1318.8,3.93E-02
NGVS+1+4.l.i,70,117,1841,1.06E-01
NGVS+1+4.l.u,122,61,225.6,1.35E-01
NGVS+1+4.l.z,60,214,3848.8,1.98E-01
NGVS+1+4.s.g,3.57,14,27.5,2.10E+00
NGVS+1+4.s.u,4.48,9,13.2,1.68E+00
NGVS+1+4.s.z,0.89,25,89,8.42E+00
NGVS+1+5.l.g,182,95,1227.4,4.11E-02
NGVS+1+5.l.i,67,119,1905,1.12E-01
NGVS+1+5.l.u,96,55,226.7,1.40E-01
NGVS+1+5.l.z,56,202,3413,2.13E-01
NGVS+1+5.s.g,3.42,35,164.5,2.19E+00
NGVS+1+5.s.z,0.89,29,119.7,8.38E+00
NGVS+1-1.l.g,195,98,1290.5,3.84E-02
NGVS+1-1.l.i,72,118,1880.5,1.04E-01
NGVS+1-1.l.r,55,116,1806.4,1.34E-01
NGVS+1-1.l.u,125,57,197.7,1.32E-01
NGVS+1-1.l.z,50,165,2784.1,1.96E-01
NGVS+1-1.s.g,3.5,14,29.7,2.14E+00
NGVS+1-1.s.i,1.36,19,50.1,5.53E+00
NGVS+1-1.s.u,4.7,12,21.6,1.59E+00
NGVS+1-1.s.z,0.87,29,119.3,8.58E+00
NGVS+1-2.l.g,194,104,1461.8,3.86E-02
NGVS+1-2.l.i,70,127,2162.7,1.06E-01
NGVS+1-2.l.r,111,115,1775.4,6.71E-02
NGVS+1-2.l.u,122,62,238.7,1.35E-01
NGVS+1-2.l.z,62,169,2391.8,1.93E-01
NGVS+1-2.s.g,2.94,9,15.9,2.04E+00
NGVS+1-2.s.u,4.79,12,21.9,1.57E+00
NGVS+1-2.s.z,0.87,31,132.9,8.58E+00
NGVS+1-3.l.g,195,90,1093.4,3.85E-02
NGVS+1-3.l.i,71,110,1628.6,1.05E-01
NGVS+1-3.l.u,133,73,300.1,1.35E-01
NGVS+1-3.l.z,56,193,3365,1.98E-01
NGVS+1-3.s.g,3.64,14,27.7,2.06E+00
NGVS+1-3.s.i,1.35,19,48.8,5.56E+00
NGVS+1-3.s.z,0.86,30,126.7,8.75E+00
NGVS+1-4.l.g,199,88,1045.6,3.76E-02
NGVS+1-4.l.i,72,116,1817.4,1.03E-01
NGVS+1-4.l.r,169,144,2001.9,6.19E-02
NGVS+1-4.l.u,130,74,309.3,1.38E-01
NGVS+1-4.l.z,55,163,2553.4,1.90E-01
NGVS+1-4.s.g,3.45,14,29.4,2.18E+00
NGVS+1-4.s.i,1.35,19,52,5.54E+00
NGVS+1-4.s.z,0.93,20,55.4,8.07E+00
NGVS+1-5.l.g,201,89,1072.2,3.73E-02
NGVS+1-5.l.i,71,110,1629.4,1.05E-01
NGVS+1-5.l.r,79,99,2215.3,5.65E-02
NGVS+1-5.l.u,136,74,309.1,1.32E-01
NGVS+1-5.l.z,55,168,2717.1,1.89E-01
NGVS+1-5.s.g,3.63,14,26.6,2.07E+00
NGVS+1-5.s.i,1.37,19,49.8,5.49E+00
NGVS+1-5.s.z,0.94,21,59.8,7.95E+00
NGVS+1-6.l.g,194,101,1364.3,3.86E-02
NGVS+1-6.l.i,70,100,1354.7,1.06E-01
NGVS+1-6.l.u,134,74,304.5,1.34E-01
NGVS+1-6.l.z,53,187,3159.2,2.08E-01
NGVS+1-6.s.g,3.56,14,27.2,2.11E+00
NGVS+1-6.s.i,1.36,18,46.7,5.52E+00
NGVS+1-6.s.u,4.61,17,39.8,1.63E+00
NGVS+1-6.s.z,0.91,30,122.3,8.27E+00
NGVS+1-7.l.g,179,91,1113.6,4.17E-02
NGVS+1-7.l.i,71,130,2260.9,1.04E-01
NGVS+1-7.l.u,115,64,251.4,1.42E-01
NGVS+1-7.l.z,63,170,2431.9,1.90E-01
NGVS+1-7.s.g,3.54,17,42.8,2.12E+00
NGVS+1-7.s.z,0.92,33,147.9,8.15E+00
NGVS+2+0.l.g,196,97,1257.6,3.81E-02
NGVS+2+0.l.i,72,118,1879.6,1.04E-01
NGVS+2+0.l.r,63,118,2342,9.47E-02
NGVS+2+0.l.u,126,56,190.7,1.31E-01
NGVS+2+0.l.z,49,149,2315.9,1.97E-01
NGVS+2+0.s.g,3.64,14,28.6,2.06E+00
NGVS+2+0.s.i,1.37,15,33.7,5.47E+00
NGVS+2+0.s.u,4.8,12,21.5,1.56E+00
NGVS+2+0.s.z,0.86,29,113.6,8.72E+00
NGVS+2+1.l.g,190,99,1326.4,3.93E-02
NGVS+2+1.l.i,70,118,1883.3,1.06E-01
NGVS+2+1.l.u,112,64,253,1.47E-01
NGVS+2+1.l.z,61,173,2513.2,1.94E-01
NGVS+2+1.s.g,3.61,13,22.8,2.08E+00
NGVS+2+1.s.i,1.38,20,55.6,5.45E+00
NGVS+2+1.s.z,0.88,21,60.5,8.52E+00
NGVS+2+2.l.g,188,101,1376.6,3.99E-02
NGVS+2+2.l.i,69,125,2087.8,1.08E-01
NGVS+2+2.l.u,113,64,255.1,1.45E-01
NGVS+2+2.l.z,56,184,3080.5,1.97E-01
NGVS+2+2.s.g,3.65,15,30.2,2.05E+00
NGVS+2+2.s.z,0.89,17,40.6,8.41E+00
NGVS+2+3.l.g,185,102,1411.6,4.04E-02
NGVS+2+3.l.i,68,130,2273.5,1.09E-01
NGVS+2+3.l.u,129,63,244.2,1.28E-01
NGVS+2+3.l.z,60,194,3147.4,1.99E-01
NGVS+2+3.s.g,3.57,13,24.3,2.10E+00
NGVS+2+3.s.z,0.89,18,45.5,8.45E+00
NGVS+2+4.l.g,187,98,1289.7,4.00E-02
NGVS+2+4.l.i,69,116,1808,1.07E-01
NGVS+2+4.l.u,122,60,221.3,1.35E-01
NGVS+2+4.l.z,55,205,3809.3,2.00E-01
NGVS+2+4.s.g,3.54,14,27.6,2.12E+00
NGVS+2+4.s.u,4.55,12,20.3,1.65E+00
NGVS+2+4.s.z,0.88,26,91.6,8.57E+00
NGVS+2+5.l.g,184,96,1247.7,4.07E-02
NGVS+2+5.l.i,67,113,1715,1.11E-01
NGVS+2+5.l.u,97,57,244,1.39E-01
NGVS+2+5.l.z,51,194,3409.8,2.14E-01
NGVS+2+5.s.g,3.45,30,125.5,2.17E+00
NGVS+2+5.s.z,0.91,24,80.7,8.25E+00
NGVS+2-1.l.g,194,98,1286.4,3.85E-02
NGVS+2-1.l.i,72,117,1851.1,1.04E-01
NGVS+2-1.l.r,57,106,1880.5,1.04E-01
NGVS+2-1.l.u,122,61,229.6,1.34E-01
